"ACP 30-2K",,,,,,,
"https://www.spherotech.com/PMT%20QC%20RECORD%20ACP-30-5K%20Rev.%20D.xls",,,,,,,
"MECSB",165.674334973794,340.486972724961,826.600919891466,2624.32033982357,7136.97835687739,19016.8923138331,32485.972305376
"MEBFP",783.479435075178,1649.6663503655,4198.58208277468,14660.9866605248,45084.832628766,155778.308324188,386263.847966924
"MEFL",646,1704,4827,15991,47609,135896,273006
"MEPE",418,1188,3445,11858,35821,108150,248022
"MEPTR",182,512,1503,5542,17662,61847,179707
"MECY",1301,3260,8681,30542,94737,355044,1041442
"MEPCY7",43612.1316610686,157277.99967019,471882.579572875,,,,
"MEAP",292,903,2944,10279,31830,88779,136890
"MEAPCY7",152.481010512631,358.004365649928,966.611772258365,2861.65093025875,8041.50258137422,21487.9458259072,34373.1492632902
,,,,,,,
"RCP-30-5A Lot AA01, AA02, AA03, AA04, AB01, AB02, AC01 & GAA01-R",,,,,,,
"https://www.spherotech.com/RCP-30-5a%20%20rev%20G.2.xls",,,,,,,
"MECSB",179,400,993,3203,6083,17777,36331
"MEBFP",700,1705,4262,17546,35669,133387,412089
"MEFL",692,2192,6028,17493,35674,126907,290983
"MEPE",505,1777,4974,13118,26757,94930,250470
"MEPTR",207,750,2198,6063,12887,51686,170219
"MECY",1437,4693,12901,36837,76621,261671,1069858
"MEPCY7",32907,107787,503797,,,,
"MEAP",578,2433,6720,17962,30866,51704,146080
"MEAPCY7",718,1920,5133,9324,14210,26735,
,,,,,,,
"RCP-30-5A Lot AC02, AC03 & AD01",,,,,,,
"https://www.spherotech.com/RCP-30-5a%20Lot%20AC02.xls",,,,,,,
"MEPB",179.490842861769,399.130271822164,1004.33041842402,3326.09220035309,6280.9781554728,18181.900886873,37446.4126347345
"MEAmC",689.818391446723,1645.66379392412,4353.99728581043,17956.9358902402,37196.3751279619,136964.361513719,422642.751819192
"MEFL",694.316757280561,2095.54714141499,6077.97998121964,18079.7185767491,37488.3221945023,127548.70589779,292408.003430039
"MEPE",525.988079665053,1735.72870920068,5023.48980798513,13251.1367386049,27327.3892526052,96552.680798141,259880.668965796
"MEPTR",218.12305864236,737.206689077331,2197.57129248996,6081.95974182049,13048.0691337032,52446.8891318169,177982.883907379
"MECY",1434.98342378079,4725.12552939372,12977.4579084514,34975.0986132135,71893.2990690699,258366.215367105,1120607.11147369
"MEPCY7",14858.8422415397,31336.9778664833,107223.701409309,519777.268051615,,,
"MEAP",1184,4024,8892,20919,35336,62371,160356
"MEAPCY7",1638.44517911143,4232.87970031999,8021.74368319802,14091.8060342384,27002.3850136509,,
,,,,,,,
"RCP-30-5A Lot Z02 and Z03",,,,,,,
"https://www.spherotech.com/RCP-30-5a%20lot%20Z02%20rev%20F.xls",,,,,,,
"MEFL",601,1645,4920,15169,39664,149723,309976
"MEPE",404,1096,3752,11972,29596,126945,292721
"MEPTR",175,480,1687,5549,14005,66220,180787
"MECY",1684,3603,10436,29791,70042,310480,830853
"MEAP",6600,11135,20320,68250,134075,,
,,,,,,,
"RCP-30-5 Lot AA01, AB01, AB02, AC01 & AD01",,,,,,,
"https://www.spherotech.com/RCP-30-5%20rev%20g%20-%20Lot%20AA01.xls",,,,,,,
"MEFL",6028,17493,35674,126907,290983,,
"MEPE",4974,13118,26757,94930,250470,,
"MEPTR",2198,6063,12887,51686,170219,,
"MECY",12901,36837,76621,261671,1069858,,
